category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Buildings;Warehousing/Logistics;42024469923;Operational Use;School/University Buildings;Heavily Damaged;Aceh;Kabupaten Aceh Besar;4.695135;96.7493993;2016;0
Land;Monuments or Historical Buildings;10610821908;Used for Functional Vehicles;Agricultural Land;Heavily Damaged;Sumatera Utara;Kabupaten Deli Serdang;2.1153547;99.5450974;2016;0
Land;Plantation Land;108229498550;Used for Functional Vehicles;Warehousing/Logistics;Needs Repair;Sumatera Barat;Kabupaten Padang Pariaman;-0.7399397;100.8000051;2016;0
Buildings;Official Residence;98520924072;Used as Per Procedure;Government Office Buildings;Heavily Damaged;Riau;Kabupaten Kampar;0.2933469;101.7068294;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);29791323123;Not Used;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Jambi;Kabupaten Muaro Jambi;-1.4851831;102.4380581;2016;3277045544
Land;Plantation Land;51996537386;Not Used;Government Office Buildings;Slightly Damaged;Sumatera Selatan;Kabupaten Ogan Ilir;-3.3194374;103.914399;2016;5199653739
Land;Government Office Buildings;52717803699;Operational Use;Government Office Buildings;Needs Repair;Bengkulu;Kabupaten Bengkulu;-3.5778471;102.3463875;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);55864530558;Used for Functional Vehicles;Monuments or Historical Buildings;Heavily Damaged;Lampung;Kabupaten Lampung Selatan;-4.5585849;105.4068079;2016;0
Land;Warehousing/Logistics;106287388976;Used for Functional Vehicles;Monuments or Historical Buildings;Heavily Damaged;Kepulauan Bangka Belitung;Kabupaten Bangka;-2.7410513;106.4405872;2016;0
Land;Warehousing/Logistics;10983951835;Used by Others;Official Residence;Heavily Damaged;Kepulauan Riau;Kabupaten Karimun;3.9456514;108.1428669;2016;0
Land;Agricultural Land;4356994462;Not Used/Abandoned;Hospitals/Health Centers;Needs Repair;DKI Jakarta;Kota Jakarta;-6.211544;106.845172;2016;566409280
Buildings;Government Office Buildings;53152134595;Not Used/Abandoned;Public Facilities (Parks, Fields);Needs Repair;Jawa Barat;Kabupaten Bandung;-7.090911;107.668887;2016;6909777497
Buildings;Hospitals/Health Centers;50355838962;Not Used/Abandoned;Government Office Buildings;Well Maintained;Jawa Tengah;Kabupaten Semarang;-7.150975;110.1402594;2016;7049817455
Land;Monuments or Historical Buildings;25851881968;Not Used;Plantation Land;Well Maintained;DI Yogyakarta;Kabupaten Sleman;-7.8753849;110.4262088;2016;3102225836
